,Unnamed: 0,ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,describe,brand,grade,year_of_manufacture,car_name,price,url,price_in_billion
8721,8721,4817657,Domestic assembly,Used car,Sedan,50,Red,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,8.7,"Mercedes Hoan Kiem Opens for Sale E180Color: RED Interior: BLACKManufactured: 2022Registration: 2022Rolling: 50KmOFFICIAL MERCEDES HOAN KIEM 3-year genuine warranty. You can press the new license plate yourself. Preferential treatment like buying a new car. Contact us for detailed advice and to receive attractive incentives Mercedes-Benz Vietnam Star Hoan Kiem Address: 5 Le Thanh Tong, Hoan Kiem, Hanoi. Contact Now: Mr. Kien",Mercedes-Benz,E180,2022.0,Mercedes Benz E class E180 2022,1 Billion 990 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-4817657,1.99
8799,8799,4818273,Imported,Used car,Pickup,35,Black,Black,4,5,Diesel,2.0,Automatic,4WD - Four-wheel drive (4WD),11.7," Hai Binh Auto Salon sells Fort Wildtrak 4x4 full floor. 2020 imported CBU, 1 owner from new with very few miles and well maintained, odo over 3k km with full company history. Extremely good car, bright undercarriage, no minor defects, including nationwide inspection as required. Full of lots of toys...- Support for title transfer and installment loans through banks up to 65% of car value with low interest rates...â€”â€”â€”â€”â€”â€”â€”â€”â€”â€”â€” Ì‰ Ì€ Hoan Lao - Bo Trach - Quang Binh",Ford,Ranger,2020.0,Ford Ranger Wildtrak 2.0L 4x4 AT 2020,735 Million,https://bonbanh.com/xe-ford-ranger-wildtrak-2.0l-4x4-at-2020-4818273,0.735
9059,9059,4820290,Imported,Used car,Hatchback,5,White,Colorful,5,5,Petrol,1.0,Automatic,FWD - Front-wheel drive,5.6,"Hyundai i 10 2017 private car store, one owner from the beginning, beautiful original, no minor defects. Viewed the car in Kinh Mon town, Hai Duong.",Hyundai,i10,2017.0,Hyundai i10 Grand 1.0 AT 2017 car,338 Million,https://bonbanh.com/xe-hyundai-i10-grand-1.0-at-2017-4820290,0.338
9120,9120,4820711,Imported,Used car,SUV,11,Black,Black,5,5,Petrol,2.3,Automatic,FWD - Front-wheel drive,8.0," Selling Mazda Tribute 2.3 automatic, 2009 model, imported from Taiwan, black color, Hanoi license plate, private name, one owner from new, car with over 110,000 miles, has been maintained by the owner so it is in very nice condition, car is equipped with bags Safe gas, ABS brakes, 2-way air conditioning, electric mirrors, power cut, sunroof, steering wheel with integrated audio, reverse cam screen, cruise cam, high-quality leather interior according to the car, molded wheels , new tires... The car has never been in a crash or flood, no faults, no matter how small, original chassis, smooth operation, want to sell to people who really need to use and understand this car. Anyone interested please contact soon to own the perfect car! Thank you for reading!",Mazda,Tribute,2009.0,Mazda Tribute 2.3 AT 2009,289 Million,https://bonbanh.com/xe-mazda-tribute-2.3-at-2009-4820711,0.289
9179,9179,4821372,Domestic assembly,Used car,SUV,23,Green,Red,5,5,Petrol,1.6,Manual,4WD - Four-wheel drive (4WD),8.0," Let me give it to anyone who wants it, the car runs smoothly, many things have been replaced, the battery has shock absorbers, the piano is newly made in good condition.... 2 bridges ok",Suzuki,Vitara,2003.0,Suzuki Vitara JLX 2003,129 Million,https://bonbanh.com/xe-suzuki-vitara-jlx-2003-4821372,0.129
9597,9597,4825005,Imported,Used car,Hatchback,5,Green,Colorful,5,5,Petrol,1.0,Manual,FWD - Front-wheel drive,6.0," For sale i10 manufactured 2015, imported privately owned, registered for 1 and a half years, good engine, solid base, cold air conditioner, anyone who needs it, call me.",Hyundai,i10,2015.0,Hyundai i10 Grand 1.0 MT Base 2015,180 Million,https://bonbanh.com/xe-hyundai-i10-grand-1.0-mt-base-2015-4825005,0.18
9680,9680,4826345,Domestic assembly,Used car,SUV,20,Black,Cream,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"GLC300 black nt black 2022 production 20km\Options: super wide sunroof, 1-touch opening and closing key, 360 camera, high-end bumter speakers, boot boot, 1-touch touch screen, powerful but very economical 2.0 engine fuel...If you are interested, please contact us for more detailed information",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 299 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4826345,2.299
9880,9880,4827349,Domestic assembly,Used car,Sedan,50,White,Different color,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,8.7," Selling Mercedes E180 model 2022, white. Sports exterior package. 18 inch 5 dual-spoke wheels, RunFlat tires. Apple Carplay and Android Auto connection. Full Led headlights. Snug doors, electric trunk. Blind spot warning. 64-color interior lighting. Carbon-grain aluminum interior. Curtains. 12.3 inch touch screen...And many other safety featuresPersonal car purchased new on June 18, 2022, rolled 50 km, not a single scratch, car condition is like new. Support to buy in installments via bank with Low interest rates",Mercedes-Benz,E180,2022.0,Mercedes Benz E class E180 2022,1 Billion 839 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e180-2022-4827349,1.839
10301,10301,4830327,Imported,Used car,Sedan,10,Black,Cream,4,5,Petrol,2.5,Automatic,FWD - Front-wheel drive,8.7," I need to sell my toyota.camry. manufactured in 2009, exported to the US, 2.5 engine, full LE version, sunroof, felt seats, beautiful car, anyone who wants to understand this car model, please contact me to see the car.",Toyota,Camry,2009.0,Toyota Camry LE 2.5 2009,490 Million,https://bonbanh.com/xe-toyota-camry-le-2.5-2009-4830327,0.49
10365,10365,4830881,Domestic assembly,Used car,Sedan,50,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,7.9,"First registration: August 2022 Manufacture: 2021 Odo: 50 km Warranty: August 2025 Save 10% - 15% on new cars GENUINE MERCEDES SURFING CAR COMMITMENTS: - Commitment to not crash or flood - Commitment to clear history Transparency, clear legality - Written commitment to quality, Mercedes-Benz Vietnam stamp (110 points) - Issue invoices and complete documents - Support 75% installment payment according to vehicle valuation, preferential interest rate Incentives by brand - Document support, redial number 100% nationwide - Car delivery at home far away from all provinces and cities",Mercedes-Benz,C200,2021.0,Mercedes Benz C class C200 Avantgarde 2021,1 Billion 639 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2021-4830881,1.639
10436,10436,4831204,Domestic assembly,Used car,Sedan,25,Green,Brown,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,12.6,"First registration: December 2022Manufactured: 2021Odo: 25 kmWarranty: December 2025Save 10% - 15% on new cars GENUINE MERCEDES SURFING CAR COMMITMENT: - Commitment to not crash or flood - Commitment to clear history Transparency, clear legality - Written commitment to quality, Mercedes-Benz Vietnam stamp (110 points) - Issue invoices and complete documents - Support 75% installment payment according to vehicle valuation, preferential interest rate Incentives by brand - Document support, redial number 100% nationwide - Car delivery at home far away from all provinces and cities",Mercedes-Benz,C300,2021.0,Mercedes Benz C class C300 AMG 2021,2 Billion 89 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2021-4831204,2.089
10596,10596,4832437,Imported,Used car,Sedan,1,Black,Brown,4,5,Petrol,4.4,Automatic,RFD - Rear-wheel drive,13.0,"BMW 750Li modle 2010âœ“ Black color with brown interior.âœ“ Manufactured in 2009âœ“ Engine: 4.4L 402HP.âœ“ Vehicle equipped with: electric steering wheel with exhaust, 360 cam, windshield, lane keeping, distance radar, Electronic handbrake. Sunroof, cooled seats, sunshades, electric trunk doors... Hong Phuc Auto commits to:âœ“ Guarantee original machinery, no collisions, no flooding.âœ“ Accept car exchanges and exchanges.âœ“ Especially accept buying used cars at the highest price on the market, with commission for spotter.#BMW_750Li",BMW,7_Series,2009.0,BMW 7 Series 750Li 2009,599 Million,https://bonbanh.com/xe-bmw-7_series-750li-2009-4832437,0.599
10694,10694,4833062,Domestic assembly,Used car,SUV,20,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"GLC 300 4matic Saigon Beach 20km away Color white and black Options: super wide sunroof, 1-touch open and close key, 360 camera, high-end speaker, boot, 1-touch touch screen, powerful but very economical 2.0 engine Fuel Those who are interested are invited to contact us for more detailed information",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 569 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4833062,2.569
10835,10835,4834153,Imported,Used car,SUV,36,Brown,Brown,5,5,Petrol,3.5,Automatic,AWD - 4-wheel drive (AWD),11.0," Selling a 2018 Lexus RX 350, high-end version, fully driven, very new, guaranteed to have no defects, right on the owner's signature to sign the purchase and sale.",Lexus,RX350,2018.0,Lexus RX 350 2018,3 Billion 450 Million,https://bonbanh.com/xe-lexus-rx-350-2018-4834153,3.45
10873,10873,4834352,Domestic assembly,Used car,Crossover,4,White,Black,5,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,7.4," Peugeot 3008 AL version super quality, super new. 2020 1 owner bought from new. Drives 4van. Tires follow the whole car. Brand new spare tire, not worn yet. Painted almost the whole car. The whole car is completely original, nothing to criticize. Spray maintenance history at the company. Covering everywhere customers request. The vehicle is committed to not crash or flood.",Peugeot,3008,2020.0,Peugeot 3008 Allure 1.6 AT 2020,860 Million,https://bonbanh.com/xe-peugeot-3008-allure-1.6-at-2020-4834352,0.86
10880,10880,4834418,Domestic assembly,Used car,Sedan,19,Black,Grey,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4,"Super cool C200 Avantgarde First registration: August 2022 Cavanside Blue / black interior Latest improvement: completely new interface, huge 11.9 inch screen, extremely new steering wheel, strong 1.5 EQ engine Strong... Full genuine warranty, 70% bank support, nationwide vehicle delivery Please contact us for direct consultation and best price",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 615 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4834418,1.615
10885,10885,4834441,Domestic assembly,Used car,Sedan,17,Black,Colorful,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,12.6," C300 AMG is super super fast First registration: December 2022Black / brown interior (extremely luxurious) Latest improvement: completely new interface, extremely large 11.9 inch screen, extremely new steering wheel , powerful 2.0 EQ engine, trunk kick, keyless go, digital light ..â€¦Full genuine warranty Say no to car crashes, kilometer rewinding, 70% bank support, please contact directly",Mercedes-Benz,C300,2022.0,Mercedes Benz C class C300 AMG 2022,2 Billion 39 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c300-amg-2022-4834441,2.039
10887,10887,4834479,Imported,Used car,Sedan,18,Green,Black,4,5,Petrol,3.0,Automatic,RFD - Rear-wheel drive,3.7," Mercedes S450 Luxury, super super fast, Kilometers only stop at 2 numbers: 18kilometersSx: 2022 Nautic Blue / black interior Company name issues VAT invoice Full genuine warranty until: 2025 - Completely new improved version allnew : 12.3 inch screen with Vietnamese interface, wireless carplay, 15 bummeter speakers, high quality nappa leather, super nice 20 inch wheels, blind spot warning on the mirror Please contact us to experience and advise on the best price",Mercedes-Benz,S450,2022.0,Mercedes Benz S class S450 Luxury 2022,5 Billion 650 Million,https://bonbanh.com/xe-mercedes_benz-s_class-s450-luxury-2022-4834479,5.65
10909,10909,4834621,Domestic assembly,Used car,Sedan,99,Red,Black,4,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,8.7,"E200 exclusive red and black. Super surf 99km. Production 2022. VAT invoice issued. The car has the SG license plate. Vehicle equipment: 12.3-inch touch screen; Bluetooth connection, new touch-controlled Touchpad on the center pedestal, Apple Carplay and Android Auto connection, USB port (type C) for the rear seat, smart car locking system, KEYLESS-GO button start, Cruise Control speed control function with SPEEDTRONIC, Rear Camera, Active Brake Assist, Active Parking Assist with PARKTRONIC....",Mercedes-Benz,E200,2022.0,Mercedes Benz E class E200 Exclusive 2022,2 Billion 150 Million,https://bonbanh.com/xe-mercedes_benz-e_class-e200-exclusive-2022-4834621,2.15
10934,10934,4834739,Domestic assembly,Used car,Sedan,7,Pink,Black,4,5,Petrol,1.5,Automatic,FWD - Front-wheel drive,7.6," I'm selling a mazda3, if you want to give me March 8, please contact me! The car runs on 7V! 4 new tires, lots of toys, (pink shell paint, original clear paint) anyone who wants to see the car in person can contact me",Mazda,3,2015.0,Mazda 3 1.5 AT 2015,439 Million,https://bonbanh.com/xe-mazda-3-1.5-at-2015-4834739,0.439
11041,11041,4835187,Domestic assembly,Used car,SUV,3,Green,Green,5,7,Diesel,2.2,Automatic,FWD - Front-wheel drive,10.2,"-I'm selling the 2021 Hyundai Santafe high-end diesel version.-The car is blue with brown leather interior, and has only driven 30,000 km. This is the most popular 7-seat high-riding car model in Vietnam at the moment. Present. Equipped with the most options in the segment, youthful and sporty design, extremely economical 2.2 diesel engine. Options are overflowing, when buying a car there is nothing left to add. Come and see the car, just discuss the price.-Cam Quality statement in writing with legal value: â€¢ The vehicle has not crashed affecting the iron chassis. â€¢ The vehicle has not been flooded or hydro-jacked. â€¢ The vehicle has not had the engine removed or modified. â€¢ Clear legal documents. and fully qualified to change name and change license plate.",Hyundai,Santa_Fe,2021.0,Hyundai SantaFe Hyundai 2021,1 Billion 60 Million,https://bonbanh.com/xe-hyundai-santafe-huyndai-2021-4835187,1.06
11068,11068,4835441,Domestic assembly,Used car,Truck,1,Green,Green,2,3,Diesel,3.9,Manual,RFD - Rear-wheel drive,18.6," Selling Hyundai truck with canvas roof, load capacity 6, 4 tons. 2017 model year, beautiful car, good mechanicals, original, runs very smoothly with little oil consumption.",Hyundai,HD,2017.0,Hyundai HD 650 2017 car,540 Million,https://bonbanh.com/xe-hyundai-hd-650-2017-4835441,0.54
11143,11143,4836044,Imported,Used car,SUV,6,Black,Grey,4,7,Petrol,1.5,Automatic,FWD - Front-wheel drive,8.2," The family car is being owned by the owner, priority is given to selling to customers. See the car in Vinh Tuy Ward.",Honda,CR-V,2018.0,Honda CRV L 2018,850 Million,https://bonbanh.com/xe-honda-crv-l-2018-4836044,0.85
11183,11183,4836476,Domestic assembly,Used car,Sedan,15,Silver,Cream,4,5,Petrol,1.5,Manual,FWD - Front-wheel drive,7.4," âœ“ I'm back again, Toyota Vios E, genuine 2010, new fom, Family car, no taxi service, No faults, Car not flooded, not crashed, Original transmission. If you are interested, please call me.",Toyota,Vios,2010.0,Toyota Vios 1.5E 2010 car,265 Million,https://bonbanh.com/xe-toyota-vios-1.5e-2010-4836476,0.265
11351,11351,4838340,Domestic assembly,Used car,Hatchback,5,Red,Black,5,5,Petrol,1.5,Automatic,FWD - Front-wheel drive,6.4," 2017 Mazda2 private car, one owner from the beginning, beautiful car, original car for sale AT Very sporty spor driving mode Super fuel efficient 1.5 engine. Motorcycle integer. Original leather interior and seats. Solid platform For more detailed information, please contact us to see the car in Kinh Mon town, Hai Duong",Mazda,2,2017.0,Mazda 2 1.5 AT 2017,410 Million,https://bonbanh.com/xe-mazda-2-1.5-at-2017-4838340,0.41
11580,11580,4839876,Imported,Used car,Sedan,9,White,Colorful,4,5,Petrol,1.25,Manual,FWD - Front-wheel drive,6.6," Huynhd i10Sx 2016 Handheld record with name plate printed on the day, genuine white color, imported car, complete unit, with Android screen, built-in reverse cam, sound, music, top price, 265 million",Hyundai,i10,2016.0,Hyundai i10 Grand 1.2 MT Base 2016,240 Million,https://bonbanh.com/xe-hyundai-i10-grand-1.2-mt-base-2016-4839876,0.24
11611,11611,4840252,Domestic assembly,Used car,SUV,9,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"SAVE MORE THAN 300 MILLION WHEN BUYING GLC 200 SUPER SURFACE PRODUCED 2023 WHITE INTERIOR WITH ALMOST 3 YEARS WARRANTY REMAINING Selling Mercedes-Benz GLC 300 2022 white color, black gold interior, priced 340 million cheaper than a new car. The car has run EXACTLY 9 km and is LIKE NEW. Mercedes-Benz GLC 300 2022 is the company's most luxurious and classy car model. The car has a bold and stylish exterior with sharp lines and body mass that creates a strong feeling, equipped with full options such as 360 camera, burmester speakers with leather upholstery, electric seat memory, multibeam smart lights.. ..call now, we have all the cars",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 529 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4840252,2.529
11844,11844,4841659,Domestic assembly,Used car,Sedan,30,Black,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4," C200 Plus V1 version 2023- Year of manufacture: 2022- Registration: February 2023- ODO: 30 km- Black - brown seat interior - Genuine 3-year warranty until March 2026-* Used car Genuine Mercedes Benz.* Vehicle is inspected through 110 comprehensive steps and certified according to genuine standards by Mercedes Benz.* 3-year warranty with unlimited kilometers.* Guaranteed original vehicle, never crashed, Water damage.* Vehicle is periodically inspected and maintained according to genuine standards.* Test drive at home - vehicle delivery nationwide",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 830 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4841659,1.83
11878,11878,4841833,Imported,Used car,Crossover,9,Brown,Grey,5,5,Petrol,2.7,Automatic,FWD - Front-wheel drive,11.6," I sell Venza 2009 2.7 full version, windows, seats, electric trunk...etc. 4 new tires, motorbike, gear, original body, factory cover! Who wants to see the car in person?",Toyota,Venza,2009.0,Toyota Venza 2.7 2009 car,480 Million,https://bonbanh.com/xe-toyota-venza-2.7-2009-4841833,0.48
11932,11932,4842331,Imported,Used car,Sedan,19,Silver,Black,4,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,16.4," Imported Lasetti CDX 209 for sale. The car is equipped with a sunroof. Auto air conditioning, airbags, safe ABS brakes.",Daewoo,Lacetti,2009.0,Daewoo Lacetti CDX 1.6 AT 2009,210 Million,https://bonbanh.com/xe-daewoo-lacetti-cdx-1.6-at-2009-4842331,0.21
11942,11942,4842440,Domestic assembly,Used car,Sedan,30,Green,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4,"Mercedes C200 Avantgarde 2022 runs super fast with only 30km, 99% newâ–ªï¸ Cavansite Blue / Black interiorâ–ªï¸ Manufactured: 2022â–ªï¸ Genuine 3-year warrantyâ–ªï¸ Car has only rolled over only 30kmâ–ªï¸ Name of red export company . Selling price: Save up to nearly 300 million compared to a new car of the same model and year of manufactureâœ“ Mercedes Haxaco dealer commits: â–ªï¸No collision, no accidentâ–ªï¸Original kilometers, no mileage â–ªï¸No flooding, no defects",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 599 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4842440,1.599
11943,11943,4842441,Domestic assembly,Used car,SUV,50,White,Black,5,5,Petrol,2.0,Automatic,RFD - Rear-wheel drive,9.4," âœ“ Mercedes GLC200 2022 runs super fast with only 50kmâ–ªï¸ White / Black interiorâ–ªï¸ Manufactured: 2022â–ªï¸ Genuine 3-year warrantyâ–ªï¸ Car has only rolled over 50kmâ–ªï¸ Company name is red. Selling price: 300 million cheaper than a new carâœ“ Genuine dealer guarantees the car: â–ªï¸No crashes, no accidentsâ–ªï¸No kilometers drivenâ–ªï¸No flooding, no defects",Mercedes-Benz,GLC200,2022.0,Mercedes Benz GLC 200 2022,1 Billion 829 Million,https://bonbanh.com/xe-mercedes_benz-glc-200-2022-4842441,1.829
11945,11945,4842445,Domestic assembly,Used car,Sedan,30,Red,Black,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4," Mercedes C200 Avantgarde Plus 2022 (latest V1 version) runs super fast with only 30km, 99% newâ–ªï¸ Red color, Black interiorâ–ªï¸ Manufactured: 2022â–ªï¸ Genuine 3-year warrantyâ–ªï¸ New car has only rolled more than 30kmâ–ªï¸ Name of red export company. Selling price: Save up to nearly 300 million compared to a new car of the same model and year of manufactureâœ“ Mercedes Haxaco dealer commits: â–ªï¸No collision, no accidentâ–ªï¸Original kilometers, no mileage â–ªï¸No flooding, no defects",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde Plus 2022,1 Billion 859 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-plus-2022-4842445,1.859
12117,12117,4843894,Domestic assembly,Used car,Hatchback,8,Red,Black,5,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,6.8," The family needs to sell a beautiful red 2011 Fo fiasta Hatbach version. The car is equipped with abs brakes, andoroi screen air bubbles. Two-way air conditioning electric mirrors. Integrated steering wheel. An American-made car with a beautiful, wide and tall body. Guaranteed that the car is original from the manufacturer. No collisions or defects, the mechanic is comfortable. The car is a private owner, so buying and selling is very convenient for those who need to transfer the title or withdraw their ownership. If you come to see the car, you can find it. If there's a problem with the car, I'll give you 30 million.",Ford,Fiesta,2011.0,Ford Fiesta S 1.6 AT 2011,243 Million,https://bonbanh.com/xe-ford-fiesta-s-1.6-at-2011-4843894,0.243
12331,12331,4845233,Domestic assembly,Used car,Crossover,6,Red,Black,5,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,8.3," Huydai Kona 1.6 tubo sx 219 for sale like new, anyone interested contact me for more information",Hyundai,Kona,2019.0,Hyundai Kona 1.6 Turbo 2019,575 Million,https://bonbanh.com/xe-hyundai-kona-1.6-turbo-2019-4845233,0.575
12361,12361,4845396,Domestic assembly,Used car,Hatchback,4,Copper,Colorful,5,5,Petrol,1.25,Automatic,FWD - Front-wheel drive,6.7," Huynhdai i10 2019 registered 2022 private car, one owner from the beginning, beautiful original, no minor defects. The car still has original tires with the car, the spare tire has not been lowered, the car's key has two keys, the warranty number and the car can be viewed here. Kinh Mon town, Hai Duong",Hyundai,i10,2019.0,Hyundai i10 Grand 1.2 AT 2019 car,379 Million,https://bonbanh.com/xe-hyundai-i10-grand-1.2-at-2019-4845396,0.379
12466,12466,4846266,Domestic assembly,Used car,SUV,30,Black,Brown,5,7,Petrol,2.4,Automatic,AWD - 4-wheel drive (AWD),10.3, Family needs to sell urgently Huyndai Santafe HITRAC series high-end version car color seats full of toys Electric trunk 2 electric seats full sunroof,Hyundai,Santa_Fe,2019.0,Hyundai SantaFe Premium 2.4L HTRAC 2019,935 Million,https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2019-4846266,0.935
12483,12483,4846387,Domestic assembly,Used car,Crossover,70,Silver,Red,5,8,Petrol,2.0,Manual,RFD - Rear-wheel drive,8.5,"Need to sell Innova E 2.0 manual transmission, family does not rent out, so the owner drives the car very carefully. Now I need to change my car so I'm selling my car. No intermediaries, meet the owner right away. If guests from the province receive a discount of 5 million, travel allowance will be provided. CONTACT ZALO TO SEE THE CAR",Toyota,Innova,2016.0,Toyota Innova 2.0E 2016 car,480 Million,https://bonbanh.com/xe-toyota-innova-2.0e-2016-4846387,0.48
12488,12488,4846407,Domestic assembly,Used car,SUV,30,Black,Brown,5,7,Petrol,2.4,Automatic,AWD - 4-wheel drive (AWD),10.3," 7-seater santafe gasoline engine, high-end version, 2-color seats, 30,000 km run, price 930 million, negotiable, come see the car!",Hyundai,Santa_Fe,2019.0,Hyundai SantaFe Premium 2.4L HTRAC 2019,930 Million,https://bonbanh.com/xe-hyundai-santafe-premium-2.4l-htrac-2019-4846407,0.93
12587,12587,4846985,Imported,Used car,SUV,4,Black,Cream,5,7,Petrol,1.5,Automatic,FWD - Front-wheel drive,10.0, Xpander automatic transmission year 2019 imported car for families and civil servants who need money to travel and have work to sell. I'm not interested in buying it. The car has a few tires and the tires are still very thick. The paint on the whole car is almost original.,Mitsubishi,Xpander,2019.0,Mitsubishi Xpander 1.5 AT 2019,560 Million,https://bonbanh.com/xe-mitsubishi-xpander-1.5-at-2019-4846985,0.56
12682,12682,4847510,Domestic assembly,Used car,Sedan,30,Green,Brown,4,5,Petrol,1.5,Automatic,RFD - Rear-wheel drive,4.4,"C200 avantgarde green and brown. Surf 30km model 2022. âœ“ Loan support up to 70% of vehicle valueâœ“ Legal commitment, clear vehicle history âœ“ 100% no collision, no flooding, no clock rewind Legal commitment, clear vehicle history",Mercedes-Benz,C200,2022.0,Mercedes Benz C class C200 Avantgarde 2022,1 Billion 595 Million,https://bonbanh.com/xe-mercedes_benz-c_class-c200-avantgarde-2022-4847510,1.595
12685,12685,4847546,Domestic assembly,Used car,Van/Minivan,85,Yellow,Cream,4,10,Diesel,2.2,Manual,RFD - Rear-wheel drive,11.2,"Selling 10-seat Ford Transit Limousine, manufactured late 2022, company invoice, odo: 85km, 100% new car, beautiful license plate, warranty until 2025, sale up to 65% preferential interest rate, prime 1-3 days to receive the car. Business version with 4 adjustable seats, imported European leather... Selling to good people.",Ford,Transit,2022.0,Ford Transit Limousine 2022,990 Million,https://bonbanh.com/xe-ford-transit-limousine-2022-4847546,0.99
12932,12932,4849590,Domestic assembly,Used car,Sedan,9,White,Grey,4,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,10.9,"âœ“ Kia K3, 1.6 production 2016 AT automatic transmission, fully sold, car owners have fun with toys, sunroof, rear sports gearshift with CRuicontron function, four-wheel ABS, anti-slip drum, family car with low mobility In very good condition, the car is beautiful with no defects, the car has driven less than 100,000 km, the car has not been in a collision, has not been hit, has the original original number on the windshield, the car's interior is as fresh as new, the chassis is solid, the tires are flat. beautiful, long examination fee,",Kia,K3,2016.0,Kia K3 1.6 AT 2016,445 Million,https://bonbanh.com/xe-kia-k3-1.6-at-2016-4849590,0.445
12958,12958,4849836,Domestic assembly,Used car,Sedan,6,Black,Cream,4,5,Petrol,1.6,Automatic,FWD - Front-wheel drive,8.5,"âœ“ Kia Cerato 1.6 version 2018 AT; automatic transmission, semi-fun sunroof, rear sport gearshift with no function, 3 driving modes, 2-position memory seat, 10-way electric driver's seat, CRuicontron, four-wheel ABS, anti-slip drum, small family car Going up, it's still very nice, the car is beautiful with no faults, the car runs more than 6k miles, the car's paint is original, the car has no collisions, no water damage, the car's windows are glued, the engine flashes are original, the car's interior is as fresh as new, the chassis is new. sturdy, nice tires, new car inspection fee, please let me know",Kia,Cerato,2018.0,Kia Cerato 1.6 AT 2018,488 Million,https://bonbanh.com/xe-kia-cerato-1.6-at-2018-4849836,0.488
12976,12976,4849992,Domestic assembly,Used car,Sedan,6,Black,Grey,4,5,Petrol,1.6,Manual,FWD - Front-wheel drive,16.4,"The family car uses a very good engine, solid chassis, cool air conditioning, beautiful body and no touches",Daewoo,Lacetti,2011.0,Daewoo Lacetti EX 2011 car,135 Million,https://bonbanh.com/xe-daewoo-lacetti-ex-2011-4849992,0.135
13046,13046,4850717,Domestic assembly,Used car,Crossover,5,White,Cream,5,5,Petrol,2.0,Automatic,FWD - Front-wheel drive,9.8,"âœ“ Selling Hyundai Tucson ATH high-end version FullOption 6L /100km âœ“ Odo 5v km super sharp - 95% original paint âœ“ 1 owner car from new, dky November 2018 - Tires still come with the car, tires have not been lowered, brand new % - The car is in excellent condition without any minor defects - The vehicle's provincial license plate is included in the original document âœ“ I will check the brand and have the mechanic see the car in person... THANK",Hyundai,Tucson,2018.0,Hyundai Tucson 2.0 ATH 2018,675 Million,https://bonbanh.com/xe-hyundai-tucson-2.0-ath-2018-4850717,0.675
13170,13170,4851508,Domestic assembly,Used car,SUV,50,White,Black,5,5,Petrol,2.0,Automatic,AWD - 4-wheel drive (AWD),9.4,"For sale Mercedes GLC300 AMG manufactured in 2022, first registered 12/2022 - White car with black interior - Car runs according to company standards, only dialed numbers and put into storage, never used, ODO only 50KM, still new 100% - V1 upgrade, with real leather seats, Bumester speakers, sunroof, 360 camera, boot - Only pay 2% of registration to transfer the name, have the right to reprint new license plates - Bank supports 70% Please contact us for detailed information",Mercedes-Benz,GLC300,2022.0,Mercedes Benz GLC 300 4Matic 2022,2 Billion 499 Million,https://bonbanh.com/xe-mercedes_benz-glc-300-4matic-2022-4851508,2.499
